ID,COMPLEX
1000,Co_20
1010,Co_20_10
1020,Co_20_10_60
1030,Co_20_15
1040,Co_20_15_08
1050,Co_20_15_58
1080,Co_20_20_40
1090,Co_20_20_50
1100,Co_20_20_70
1110,Co_20_45
1120,Co_20_45_50
1130,Co_20_45_54
2100,Co_30_50
2110,Co_30_50_37
2120,Co_30_50_41
2130,Co_30_50_47
2210,Co_30_90
2220,Co_32
4260,Co_70_30
4270,Co_70_30_35
4280,Co_70_30_40
4290,Co_70_30_45
4300,Co_70_30_50
4310,Co_75
4320,Co_75_10
4330,Co_75_10_10
4340,Co_75_10_20
4350,Co_75_10_80
4360,Co_75_10_90
4370,Co_80
4500,Co_80_35
4510,Co_80_35_10
4520,Co_80_35_75
4530,Co_80_50
4540,Co_80_50_35
4550,Co_80_50_37
4560,Co_80_50_45
4570,Co_80_50_50
4580,Co_80_50_53
4590,Co_80_50_56
4600,Co_80_50_69
4610,Co_80_50_76
4880,Co_90_50_80
4890,Co_90_50_94
4900,Co_90_90
4910,Co_90_90_50
